val_mr_3s,val_mr,val_min_fde_3s,val_min_fde,val_min_ade_3s,val_min_ade,val_loss,eval_dataset,org_dataset
0.364411,0.364411,2.478979,2.478979,1.271626,1.271626,28.133398,vod,ad4che
0.042315,0.042315,0.573207,0.573207,0.351535,0.351535,6.709749,vod,waymo
0.027376,0.027376,0.464311,0.464311,0.305929,0.305929,5.100427,vod,nuscenes
0.255299,0.255299,1.568779,1.568779,0.835811,0.835811,17.306973,vod,round
0.189077,0.283332,3.123765,5.507736,2.541987,3.402146,32.250141,waymo,ad4che
0.141416,0.221085,2.28648,3.018085,2.086573,2.399897,2.728184,waymo,vod
0.15989,0.254549,1.302862,2.604034,0.903334,1.45953,4.534438,waymo,nuscenes
0.252266,0.327365,2.063195,5.458038,1.417012,2.617669,14.170133,waymo,round
0.66633,0.733321,4.697705,10.388263,1.750154,3.874004,92.548882,rounD,ad4che
0.523215,0.654218,2.891639,5.675205,1.323739,2.32607,14.45818,rounD,waymo
0.642713,0.713753,3.566135,5.741527,1.622095,2.627341,22.927614,rounD,vod
0.517462,0.661562,3.060868,6.358767,1.259683,2.411065,21.301596,rounD,nuscenes
0.125103,0.214649,0.865533,1.858395,0.444335,0.845912,18.740536,nuscenes,ad4che
0.115573,0.167908,0.780567,1.273387,0.431682,0.698872,13.383224,nuscenes,waymo
0.071676,0.148522,0.556216,1.162366,0.296924,0.546559,6.503582,nuscenes,vod
0.125135,0.242814,0.874188,2.129507,0.412937,0.898473,29.272078,nuscenes,round
0.021148,0.035088,0.700079,0.692814,0.484598,0.559909,2.871563,ad4che,waymo
0.163961,0.161584,1.240112,1.137396,0.590637,0.758562,9.717608,ad4che,vod
0.025824,0.053316,0.62611,0.789711,0.365806,0.488704,3.076354,ad4che,nuscenes
0.489525,0.605454,2.828068,4.905673,1.066036,2.116572,19.179152,ad4che,round
