dataset,A43,ad4che,apollo,argoverse,av2,eth,exiD,highD,hotel,i80,inD,interact,lyft,nuscenes,openDD,rounD,SIND,uniD,univ,us101,vod,waymo,zara1,zara2
A43,0.0,1739.355975814946,5323.73234316885,4972.8056450353015,5890.734957416419,379809.31908531324,474.0446691586286,401.7231115964583,231109.6412905653,6736.289750521148,7101.202057149051,5643.463439594717,3562.059457993568,11302.658791972275,11119.251043568982,9769.174526257135,11502.86747887432,26765.262628250923,240923.96065398346,9161.03984041806,23322.475454306812,2326.1716561737,233161.7369300183,227231.3815711597
ad4che,2129.060738693793,0.0,379.20333242370833,540.1794069425167,1238.0255634238924,115579.33649650012,1930.3348753451514,2054.8459719295743,47733.8240478121,71.6422960000795,916.8739576261926,484.6819286319279,351.89774959501915,768.6808498196567,1308.9091423103816,1739.540769428268,1229.3082732485832,2422.0780882866575,54114.67627899225,68.71800985666285,2229.8606414317933,472.9040198905783,43985.38062856202,44364.41858261911
apollo,9254.947353838532,518.5786663892763,0.0,432.4213326829726,653.8820311676728,25422.907676159215,4373.373271382474,7728.067952906397,14024.332809090654,974.553769088425,246.09742750337946,393.51665922871365,297.26488413334135,152.76056127896112,305.1219584057417,461.7383268934226,240.99098048708566,629.6902676410655,14665.155917776568,964.8455237792805,652.1723133225653,970.1600227467042,13125.020510791806,12843.66271237709
argoverse,15825.509379399617,8431.851841163107,13003.968595749537,0.0,1431.4742323074138,136164.98068511288,12555.622349321231,18460.891161859785,102008.96674236661,12807.10696354953,28746.420137455127,870.0465438413221,6204.936726114309,23550.61387195609,10505.763050878964,8004.893664957726,26387.7449893294,38543.53738203335,97365.89589833171,11867.031300638013,35757.784444660014,588.2341381016563,103597.12410857226,100984.76527657818
av2,13543.574155910957,2620.7143618768855,3573.0518399321904,406.2177619364029,0.0,47998.34816127293,6731.763422545411,13286.88639776458,35991.3300038664,4049.5224866425724,7750.1320025257855,623.8672094338634,1708.1131320443696,6401.868508284448,2817.786024992327,1865.4192348672407,7199.558763115393,11105.82974069694,34741.19078461964,3861.654969964958,10068.896191725982,1394.4114066722327,36039.29078070226,35027.086022340016
eth,12645.505839053401,185.45897551374145,81.56364379548135,546.6968640064888,408.7369063011433,0.0,2703.7825476719063,7060.165025700079,2.696411256317761,347.585774321608,64.60121308819664,253.46679835577294,296.3188881604534,47.15375204059813,134.16394943995854,388.6085588368244,113.95907382314368,42.62569448872945,3.115895300412404,450.3908776665344,160.97321237012017,457.8795601621007,3.4074785663163856,3.7263682289194286
exiD,873.6717541032275,2401.8039697158692,6265.169960737545,7673.453899415932,6845.53300307879,380393.9939619863,0.0,1214.3685541694476,256242.18580046674,7784.749762554056,8387.871356419882,6621.7568561553235,4807.10574642801,14159.665126059244,12897.15214014907,10545.847389503264,12671.253819203586,31469.892973640955,262234.40052030084,10556.63074033858,31568.700228536298,3169.2891276289256,263984.3499719665,256674.15570066933
highD,65.67683133490986,3954.126039074625,9130.29061333093,8922.819441146437,9730.147019478462,396065.09171575663,155.5123522471548,0.0,337129.184440727,14086.989894377666,12059.617399988929,10721.616874118781,7312.939390531901,22204.43070347657,16932.2066804142,13285.169221477496,16462.761707199756,42448.29991011642,334332.2809307202,18903.414940086375,41956.152179338635,4533.080373414804,359377.6420396794,340738.5510877191
hotel,12782.482022086133,194.8065058400924,80.22155039946644,612.6132148855983,459.33722152166104,12.28602900045538,2891.418052203248,7611.473875223353,0.0,348.42343305011485,62.594702209971395,271.3875153383612,334.4184202585605,47.22756675237082,136.97908398760654,450.04803303346984,120.63836898725228,40.807697644202776,0.6762871170345279,463.4327850298392,164.05948246465897,515.8722178625708,0.6192280580849812,0.7031154186071931
i80,1276.347420121419,71.68983065610925,250.7344589329212,523.1178895475139,783.863211582328,71094.89259429218,3231.1114609500146,2442.1926178942927,35825.10134442289,0.0,687.9604928550109,600.5827537555818,516.4444304111,653.2782957524379,804.4544780025292,1106.9866823930254,834.1839847885241,1589.4050609189667,39545.722227071776,20.169766896576206,1512.7825358989116,944.0688963958685,33430.53362645529,33552.18834564356
inD,12440.760553068569,313.39705732096206,91.63036038075012,366.4318551841144,302.3575661377996,12009.614530064731,2814.0588504085113,6861.9046639266435,6383.709647283278,819.4799877237274,0.0,248.8750320717097,169.53564113541637,44.52912979613687,151.94271633918743,267.6719952053547,66.86453376204041,303.35234856517997,6614.559745525817,839.6064405626875,377.758280086698,285.0589474378964,5909.79651463717,5827.676411250701
interact,10532.760254233763,3622.00397132211,4894.644691254793,395.41182398516503,591.7767950129089,57669.82401312314,6499.0720467453875,13547.251129794731,41710.462374874485,5129.450574031129,9891.048657162004,0.0,2726.163246964329,8346.772376492576,3500.4445274018426,2499.0532650817804,9088.070463371756,13630.609554617698,40336.91635305777,4599.3108168259405,13454.854500602953,275.94186914170115,41891.237896564446,41355.18908702763
lyft,11534.999986252078,554.7312082336548,305.7945943045325,216.286577843018,646.5279108481866,61186.745501793084,3279.4171327786344,6721.3875561258765,29197.86130811361,1411.5376504686888,730.497975134738,392.1208065241332,0.0,548.631158143769,754.503633780667,887.078436627479,1017.2660724653725,2203.140070696675,31205.495180435573,1471.0313689480424,1541.9977278227384,535.0378015941948,26640.04450164273,26629.873917676232
nuscenes,11667.451380134895,296.9138096232722,50.57867272915729,314.6839179700613,274.570682241687,10478.937551291408,2872.4345507319586,6322.3729939904315,6095.413433930009,643.1991937556608,69.46314216245342,190.39318027524234,134.08456332476877,0.0,129.29325857267844,235.83478864031952,71.99350549657414,200.72055568688796,6374.298741313153,659.5478297541733,263.0957535168026,357.6334540731215,5696.8325190118585,5613.767507032801
openDD,11019.32379751993,1229.1656957886069,417.35801743743957,785.401306862402,630.0529922347826,22163.092708418975,5855.637267862673,13499.957501441328,15832.287719577136,1575.3844568304853,698.4058118416658,539.7306655901729,406.6037745026454,762.7424876829556,0.0,117.55578436465599,631.601023946426,1129.7770420740846,16218.47653008413,1370.1204405916515,1524.742604384318,1211.60819789152,15297.491811441749,15122.406533406576
rounD,11965.580603649993,1625.8529161371437,681.7587741131697,864.1143113114299,601.5170482016872,25259.964356263365,6128.589723107566,16502.07472067264,18465.021595562645,2023.2276818004855,1155.1803105853976,568.244727421276,473.38165249123864,1295.674547085951,127.7697906308083,0.0,1026.6959196034315,1871.136190843225,18991.835180454535,1700.9857555023343,2134.9759216431976,1299.540107510649,18148.582965898895,17628.35534737417
SIND,11252.182775804304,532.8917153926651,91.89383322841229,363.4159132243283,292.01315033924567,9007.43675835646,3353.262181716082,7363.112445734131,5969.958511036556,950.5622444525196,57.2701900327559,189.96015403335355,150.7547747082376,65.70346459889619,87.64830949755176,148.8149669369135,0.0,201.24217913605838,6067.214640396367,903.0132636353217,407.79981108042284,295.5594280157836,5797.240166024466,5670.23480344345
uniD,12257.151244489623,442.42728769437775,74.1202490202953,843.4807026776634,608.0166442575758,2844.8647732320255,4270.047575953264,9484.471018388693,1911.7310018960814,733.5810157384539,41.57827338846143,309.76874015018507,410.57548059738826,49.7720969852198,131.33912810583016,567.5018515059445,106.06442865439566,0.0,1905.3500434395658,824.6864702887101,315.63390293129567,655.3789274807622,1828.9230804624215,1779.7694364148508
univ,13305.065283052283,203.37121435694087,84.25404750952015,642.80264408319,470.3093286722591,14.643495977115665,3062.3141042036727,8136.5265851607965,0.6134358938576058,385.5674141329861,58.94491474060199,273.0966689982121,350.65915283065124,45.65551098552001,139.06661330038224,478.1230374666868,120.14146670853106,36.724335831411956,0.0,507.1437827852542,165.53749328243356,524.5335256916869,1.377372122725721,1.6024541303595898
