val_mr_3s,val_mr,val_min_fde_3s,val_min_fde,val_min_ade_3s,val_min_ade,val_loss,eval_dataset,train_dataset
0.001106,0.021184,0.174212,0.388893,0.080465,0.156966,-4.553916,a43,a43
0.178945,0.291035,8.414136,13.572633,4.445297,6.936019,38.477898,a43,ad4che
0.834386,0.977798,19.519718,44.257046,9.466747,19.367655,110.978783,a43,apollo
0.879745,0.912967,6.608782,13.843163,2.985051,6.161538,37.98835,a43,argoverse
0.162105,0.28545,3.289208,5.803345,1.619415,2.729319,5.579328,a43,av2
0.997847,0.997902,51.005543,83.508591,26.300756,42.45153,439.994568,a43,eth
0.019292,0.27013,0.619625,1.579967,0.227364,0.560526,7.009472,a43,exid
0.011307,0.121614,0.438995,0.908452,0.256462,0.417982,1.367276,a43,highd
0.996697,0.996737,47.089878,76.899437,24.231791,39.021942,225.273209,a43,hotel
0.414722,0.348193,6.572791,10.252864,3.462161,5.321441,17.258604,a43,i80
0.399226,0.71473,7.540691,13.412613,3.83864,6.341595,20.168043,a43,ind
0.911946,0.96881,10.908217,27.432871,5.17945,11.62703,132.57341,a43,interact
0.184468,0.314336,3.812047,6.72349,1.912613,3.175573,9.946124,a43,lyft
0.614282,0.704908,14.440718,23.553104,7.332299,11.859556,31.739218,a43,nuscenes
0.907044,0.960065,24.026495,43.112408,11.84341,20.385071,118.824951,a43,opendd
0.919288,0.976361,18.736853,41.207909,8.92705,17.121359,90.47612,a43,round
0.696626,0.861935,16.412359,29.467672,7.76443,13.682711,38.90229,a43,sind
0.740096,0.880469,28.272804,45.892197,14.871785,23.489244,157.600769,a43,unid
0.996829,0.997053,46.581253,76.895714,23.877596,38.870632,279.183807,a43,univ
0.292703,0.334697,7.014937,11.105208,3.768197,5.770308,16.07939,a43,us101
0.963438,0.986691,24.677259,50.21162,11.426826,22.328573,136.88327,a43,vod
0.555569,0.372295,3.264421,3.344469,3.025886,3.097238,18.768946,a43,waymo
0.996281,0.996458,46.177727,75.50441,23.844341,38.386715,280.136322,a43,zara1
0.997222,0.997358,48.815159,79.961914,24.868259,40.505596,296.925781,a43,zara2
0.032852,0.128061,0.56925,1.196064,0.316477,0.525862,6.445559,ad4che,a43
0.000428,0.004849,0.198917,0.228312,0.11494,0.159538,-3.663677,ad4che,ad4che
0.439167,0.85205,2.154361,5.661619,1.107155,2.296566,22.306412,ad4che,apollo
0.412685,0.487755,2.142752,3.017403,0.940477,1.524113,15.077924,ad4che,argoverse
0.013296,0.040762,0.515559,0.714488,0.314855,0.427456,1.394903,ad4che,av2
0.835879,0.882538,11.408125,17.768398,5.811332,8.979674,94.313499,ad4che,eth
0.061264,0.330624,0.858304,1.836349,0.420796,0.761708,9.993891,ad4che,exid
0.006593,0.043279,0.395868,0.531134,0.238968,0.328029,0.145232,ad4che,highd
0.759352,0.819121,8.801687,13.545465,4.465207,6.808801,50.987347,ad4che,hotel
0.061948,0.074036,0.756173,0.796811,0.4583,0.57081,2.296624,ad4che,i80
0.023052,0.125346,0.616723,1.104038,0.345575,0.527409,5.282353,ad4che,ind
0.589858,0.853896,2.683517,4.377571,1.341927,2.186654,39.944859,ad4che,interact
0.020668,0.054933,0.593609,0.773424,0.348636,0.476393,2.325974,ad4che,lyft
0.033606,0.068062,0.700745,0.954341,0.403599,0.559489,3.254316,ad4che,nuscenes
0.46103,0.619944,3.470425,6.455686,1.286492,2.633744,26.558762,ad4che,opendd
0.320689,0.418103,1.978595,3.164375,0.815113,1.461905,12.313029,ad4che,round
0.020509,0.073263,0.592998,0.831535,0.326119,0.47154,3.159596,ad4che,sind
0.064957,0.224605,1.117431,1.974999,0.59183,0.921635,8.446877,ad4che,unid
0.742875,0.82981,8.853617,13.870236,4.387226,6.960895,62.469135,ad4che,univ
0.048448,0.077997,0.77127,0.903164,0.447673,0.59173,4.452534,ad4che,us101
0.507549,0.896607,2.750082,7.827144,1.331044,3.09643,28.940676,ad4che,vod
0.199746,0.171647,1.299451,1.222149,0.950435,1.037698,6.091538,ad4che,waymo
0.766885,0.828436,8.551698,13.141273,4.364167,6.676299,61.258072,ad4che,zara1
0.819843,0.893815,10.217597,15.802826,5.001406,7.936707,68.302811,ad4che,zara2
0.569334,0.569334,6.029132,6.029132,2.942669,2.942669,91.976921,apollo,a43
0.395625,0.395625,2.668147,2.668147,1.432164,1.432164,54.833622,apollo,ad4che
0.080135,0.080135,0.79175,0.79175,0.567211,0.567211,5.496127,apollo,apollo
0.209618,0.209618,1.323524,1.323524,0.850089,0.850089,9.87593,apollo,argoverse
0.173116,0.173116,1.472986,1.472986,0.928616,0.928616,24.936659,apollo,av2
0.485611,0.485611,5.695463,5.695463,2.951885,2.951885,57.549171,apollo,eth
0.495417,0.495417,3.487473,3.487473,1.764908,1.764908,60.801987,apollo,exid
0.443722,0.443722,3.234576,3.234576,1.696205,1.696205,41.750401,apollo,highd
0.43125,0.43125,4.180998,4.180998,2.102289,2.102289,26.292656,apollo,hotel
0.295413,0.295413,2.371234,2.371234,1.294498,1.294498,17.864391,apollo,i80
0.225568,0.225568,1.748741,1.748741,1.100321,1.100321,34.220821,apollo,ind
0.314678,0.314678,2.111638,2.111638,1.125104,1.125104,19.963743,apollo,interact
0.160589,0.160589,1.228514,1.228514,0.781061,0.781061,8.428785,apollo,lyft
0.236433,0.236433,1.660738,1.660738,0.984067,0.984067,12.66089,apollo,nuscenes
0.246878,0.246878,1.688398,1.688398,0.96453,0.96453,13.497037,apollo,opendd
0.273035,0.273035,1.977149,1.977149,1.147486,1.147486,25.832376,apollo,round
0.248713,0.248713,1.577752,1.577752,0.944848,0.944848,17.195511,apollo,sind
0.294527,0.294527,2.206203,2.206203,1.220299,1.220299,39.731201,apollo,unid
0.449319,0.449319,4.620677,4.620677,2.369693,2.369693,27.67491,apollo,univ
0.300069,0.300069,2.115402,2.115402,1.197683,1.197683,18.069632,apollo,us101
0.344314,0.344314,2.162526,2.162526,1.19685,1.19685,20.744183,apollo,vod
0.176293,0.176293,1.240246,1.240246,0.858542,0.858542,10.9543,apollo,waymo
0.41069,0.41069,4.005708,4.005708,2.054153,2.054153,23.184381,apollo,zara1
0.451501,0.451501,4.853547,4.853547,2.478581,2.478581,30.210058,apollo,zara2
0.702941,0.702941,6.341351,6.341351,3.428962,3.428962,122.651299,argoverse,a43
0.424832,0.424832,3.535706,3.535706,2.24081,2.24081,45.851902,argoverse,ad4che
0.233658,0.233658,2.424162,2.424162,1.78236,1.78236,16.09833,argoverse,apollo
0.074416,0.074416,0.705686,0.705686,0.534835,0.534835,4.709188,argoverse,argoverse
0.211747,0.211747,2.061942,2.061942,1.632086,1.632086,18.285168,argoverse,av2
0.467812,0.467812,9.52161,9.52161,5.457866,5.457866,100.3675,argoverse,eth
0.514123,0.514123,4.337412,4.337412,2.514364,2.514364,63.322704,argoverse,exid
0.377869,0.377869,3.192828,3.192828,2.089355,2.089355,46.747101,argoverse,highd
0.446446,0.446446,7.977083,7.977083,4.654492,4.654492,57.309738,argoverse,hotel
0.285047,0.285047,2.815944,2.815944,1.885629,1.885629,22.221231,argoverse,i80
0.366644,0.366644,3.088881,3.088881,2.056366,2.056366,32.983269,argoverse,ind
0.437946,0.437946,3.889648,3.889648,2.415445,2.415445,31.156889,argoverse,interact
0.126228,0.126228,1.043046,1.043046,0.722306,0.722306,8.028426,argoverse,lyft
0.20003,0.20003,2.174069,2.174069,1.625306,1.625306,13.993397,argoverse,nuscenes
0.311041,0.311041,3.093021,3.093021,2.006916,2.006916,24.937334,argoverse,opendd
0.432146,0.432146,4.264146,4.264146,2.460514,2.460514,31.000181,argoverse,round
0.285558,0.285558,2.602195,2.602195,1.828775,1.828775,16.743443,argoverse,sind
0.361042,0.361042,3.913847,3.913847,2.501666,2.501666,41.710037,argoverse,unid
0.446938,0.446938,7.882389,7.882389,4.583554,4.583554,53.194656,argoverse,univ
0.275104,0.275104,2.623748,2.623748,1.796135,1.796135,23.557583,argoverse,us101
0.29686,0.29686,2.98051,2.98051,1.970171,1.970171,21.567656,argoverse,vod
0.20908,0.20908,1.459453,1.459453,1.068486,1.068486,11.087099,argoverse,waymo
0.447037,0.447037,7.814048,7.814048,4.575603,4.575603,47.369514,argoverse,zara1
0.477202,0.477202,8.800237,8.800237,4.976552,4.976552,63.785164,argoverse,zara2
0.718399,0.768441,5.996934,16.06361,2.768808,6.130839,61.259533,av2,a43
0.212916,0.266731,1.370593,2.476842,0.745116,1.240417,17.211527,av2,ad4che
0.24582,0.546494,1.719645,4.163746,0.941739,2.103935,20.480907,av2,apollo
0.253708,0.26726,1.625592,2.277608,0.813293,1.322433,15.491035,av2,argoverse
0.050855,0.098671,0.517177,0.752826,0.293404,0.439434,-0.514766,av2,av2
0.33835,0.394324,5.958819,10.414155,3.14142,5.396827,58.078411,av2,eth
0.251012,0.323547,1.705351,3.578069,0.882009,1.629335,16.551834,av2,exid
0.222419,0.271607,1.480685,2.676438,0.836156,1.367793,18.09289,av2,highd
0.333871,0.390077,5.022836,8.874756,2.634706,4.537089,40.158222,av2,hotel
0.214084,0.301874,1.601028,3.016048,0.886062,1.498291,15.484459,av2,i80
